pid,name,pagerank_score
21/2715-31,Lei Liu 0031,0.00015146882348675587
85/1201,A. Kai Qin,0.0001512104342252697
f/SchubertFoo,Schubert Foo,0.0001510534028609233
40/3865,Chuanchu Wang,0.00015104717873113267
40/1491,Xiang Li,0.0001509412146972995
61/5309,Mung Chiang,0.00015077591731317336
76/1735,Yixiang Fang,0.00015039272495306904
64/6544,Yi Zhang,0.00015034302281386963
53/1565,Xiapu Luo,0.00015017305504561637
50/2082-17,Yang Zhao 0017,0.0001501695681710064
98/5684-3,Wenjie Zhang 0003,0.00015004496698861264
22/7733,Qiong Cao,0.00015002826310739969
t/JeanPhilippeThiran,Jean-Philippe Thiran,0.00015000759177393166
79/627-1,Hong Qin 0001,0.0001496528953700025
26/3470-3,Qian Sun 0003,0.00014964109728837823
14/6370-1,Xin Peng 0001,0.00014960227452468357
07/954,Zhenzhong Chen,0.00014954590797885525
186/9707,Liangming Pan,0.0001494660754479016
94/4423,Xun Yi,0.00014934612681558612
147/5824-1,Hongxu Chen 0001,0.0001492737154858692
122/5343,Chenghui Peng,0.00014903912211366486
219/5327,Peiqing Yang,0.00014899361548551636
199/1893,Shaohan Feng,0.0001488893424736907
32/6230,Shengli Xie,0.00014837737888041957
20/2165-8,You Zhou 0008,0.00014783115375061493
56/8278,Jiashi Feng,0.0001477512373483651
14/8431,Haibo Zhou,0.00014762623953428492
40/3934-4,Dong Wang 0004,0.00014759735939019487
17/1152-5,Wei Feng 0005,0.0001472872042715055
232/2265,Hongyuan Yu,0.00014725771044688535
78/50,Boris Grot,0.0001470893553304311
90/549-1,Zhaohui Yang 0001,0.0001469930305446093
59/2741,Xiang Bai,0.00014652720844874088
60/657,Zhongke Wu,0.00014652218431874923
95/4442,Peng Wang,0.00014623995801979028
195/8270,Xingjun Ma,0.0001459496803039067
32/32,Wei Ma,0.00014591788472154092
64/5845-1,Yuan Yuan 0001,0.00014560106124045566
m/StephenJMaybank,Stephen J. Maybank,0.0001453440986161298
188/6350,Yi Tay,0.00014526638109136548
a/KarlAberer,Karl Aberer,0.0001452558459430501
178/8719,Mengchen Zhao,0.00014516792038545527
82/378-3,Ming Hu 0003,0.00014512153033708144
96/6496,Xiaofeng Tao,0.00014470052061334849
46/1165,Haijun Wang,0.00014454913921894134
12/5913-1,Kai He 0001,0.00014444253989601862
55/6071,Chi Keong Goh,0.00014421822653323026
254/1228,Rundong Wang,0.00014407728342789438
249/8316,Nandish Chattopadhyay,0.00014401879795574918
222/7868,Yuxuan Du,0.0001436785813743773
71/8042,Xiaoxiao Li,0.00014365478884039684
124/0310,Chunrong Fang,0.00014348650792987623
05/4824,Roy E. Welsch,0.0001432640548778884
75/7384,Jun Jia,0.00014311654949663766
58/6810-41,Li Wang 0041,0.00014250940636516168
09/5042-29,Wei Sun 0029,0.00014249432396910277
86/2624,Long Ye,0.00014239246845104572
73/1823,Chuan Sheng Foo,0.00014230449271496458
77/2927,Pengcheng Wu,0.00014209965308132824
78/5816-3,Jun Cheng 0003,0.00014198499569391236
49/4096,Wenping Wang,0.00014185855846899156
121/0867,Haoliang Li,0.00014184187084238881
55/4292,Sreenatha G. Anavatti,0.00014171025025512527
63/7379-2,Suresh Sundaram 0002,0.00014163155924123527
79/1490,Roger Zimmermann,0.0001413253881871578
10/217,Cheng Chen,0.00014120715540291747
50/671,Yu Zhang,0.00014108690421661094
67/463,Meng Fang,0.00014077250335194706
343/4311,Jinbo Wen,0.00014073628265094353
n/KingNgiNgan,King Ngi Ngan,0.0001405725279086969
94/7131,Guanghui Wen,0.00014051406301444515
t/KayChenTan,Kay Chen Tan,0.0001404834196519573
77/1243,Wei Xia,0.00014028382260909212
144/7556,Daoyuan Wu,0.00014017814150747484
20/10243,Gongjie Zhang,0.000140014086535255
83/5342-5,Min Zhang 0005,0.00013980484847835986
61/5017,Luc Van Gool,0.00013979078371948285
59/1007,Xiangnan He 0001,0.00013964211381906224
84/2644-1,Jingren Zhou 0001,0.0001395589046523573
49/4409,Chunhua Xiao,0.00013935522982445257
188/9082,Yequan Wang,0.00013930152078343928
91/8171,Shirui Pan,0.00013884670068673618
277/9378,Bosheng Ding,0.0001386921337918837
293/7155,Longtao Zheng,0.00013863280905204926
23/1112-1,Weifeng Liu 0001,0.00013841945190842003
10/3849,Budhitama Subagdja,0.0001383008672962117
18/1099,Xinghua Qu,0.00013813261969891624
h/ThomasSHuang,Thomas S. Huang,0.00013811820333486843
17/4590,Zexuan Zhu,0.00013804680234140164
66/6819,Chonho Lee,0.00013776832953791367
16/7565-1,Jie Fu 0001,0.0001377463797692363
48/9230,Chongjia Ni,0.00013750360173332693
120/8258,Effie Chew,0.00013743880220901255
140/7434,Kaiyu Feng,0.00013737125877379673
78/3204-6,Feng Tian 0006,0.000137342286966173
170/4080,Quoc-Viet Pham,0.00013702844328610818
50/3578,Silvio Savarese,0.00013699069976865613
39/10651,Ruitao Feng,0.00013690296528221372
a/SihemAmerYahia,Sihem Amer-Yahia,0.000136763270770584
82/6302,Yiwen Chen,0.0001366168536360698
169/9975,Bryan Hooi,0.0001365184232838353
45/2091-1,Yao Zhao 0001,0.0001362155483466264
71/4476,Enamul Hoque,0.0001360448591513285
79/1648,Matej Kristan,0.00013597766814267713
12/5444-1,Tao Mei 0001,0.00013596753316041238
59/983-1,Yixin Chen 0001,0.00013595615125569724
94/60,Hongfang Yu,0.00013595048119252154
05/10163,Jakub Breier,0.00013582338293189705
195/2732,Chengwei Qin,0.00013544154428982974
57/6221-6,Sen Zhang 0006,0.00013543370659193128
152/8201,Xiucheng Li,0.00013530803695421614
66/6604,Zhiyong Lu,0.00013529523974979574
92/8277,Liqiang Nie,0.00013527848247529148
218/7793,Yueting Zhuang,0.0001349662438242799
97/6785,Pramod Kumar Meher,0.00013459896140183397
72/7440,Jiazhi Xia,0.0001345737644689546
81/3569-1,Hao Fei 0001,0.00013447930320234445
24/441,Robin Cohen,0.00013437077941513435
d/JustinDauwels,Justin Dauwels,0.00013421452749814568
22/1460,Hanwu Sun,0.0001340235561907379
50/2484-59,Lei Yang 0059,0.0001339196639975813
68/4388,Qingming Huang,0.00013378176077488807
190/2868,Yaowen Zheng,0.0001336451132315177
16/1184,Xinge You,0.00013335046490608985
117/6987,Wen Jun Tan,0.0001333069355012596
173/5282,Rex Ying,0.00013327227069930326
95/3736-36,Jun Liu 0036,0.00013324304639081338
70/1741-1,Lei Xie 0001,0.0001332223994629334
58/7646,Alok Prakash,0.00013308052469903313
73/4145,Meng Joo Er,0.0001330604470948385
225/5519,Daqing Liu,0.00013305971122121467
150/3317,Chaowei Xiao,0.00013300515434599245
50/3402,Bo Li,0.0001329935758993107
256/9091,Yile Chen 0001,0.00013273733651350306
28/6937-1,Yong Xiao 0001,0.00013269784520659022
131/9490-1,Youzhi Zhang 0001,0.00013237119016010207
78/1102-3,Shuo Yang 0003,0.00013234352666471736
119/4026,Zhangyang Wang,0.00013227007073162326
63/1534-21,Xu Yang 0021,0.00013214999388541524
129/1217,Semih Yavuz,0.00013202054848682383
181/2834-46,Zheng Wang 0046,0.00013199241578315649
62/6547,Simon See,0.00013194202218545466
157/2088,Jiaze Li,0.00013179694726518618
05/3403-3,Xin Zhou 0003,0.00013172611076479694
63/8217-1,Yunhe Wang 0001,0.00013138690365691933
50/5489,Wen Song,0.00013124803948470534
181/2323,Yan Sun,0.00013120308370281547
c/FrancoisPSChin,Francois P. S. Chin,0.00013109961897909072
95/5358,Khaled B. Letaief,0.00013108770149662885
284/0807,Zheng Shou 0001,0.00013105141667086126
53/803,Linbo Luo,0.0001309795199455102
88/4302,Jun Jiang,0.0001308830476104273
01/2404,Qingyu Yang,0.00013077192188838473
95/10112,Diep N. Nguyen,0.0001305315886923579
86/541-1,Zhenyu Chen 0001,0.00013048165300860574
01/784,Rong Zhu,0.00013016195458572297
02/2515,Zhongkang Lu,0.0001298758639622323
74/1798-1,Yuan Miao 0001,0.00012971624293869915
17/1464-1,Xiaohu You 0001,0.00012969901778809426
317/0657,Xuan Long Do,0.00012959221646560097
r/IanDReid1,Ian Reid 0001,0.00012943311603948743
71/5859,Dinh Phung 0001,0.00012914335227316959
96/7401,Junyu Liu,0.00012906195010904667
s/ShiguangShan,Shiguang Shan,0.0001289305917139687
83/1191-1,Jung-Jae Kim 0001,0.00012889430232779719
37/4190-55,Yang Li 0055,0.00012882057491640762
128/0928,Allan NengSheng Zhang,0.00012877407820537985
04/6217,Huadong Ma,0.0001286974393993797
74/4904,Qingyu Guo,0.0001284597553199494
118/5482,Jiaxing Xu,0.00012829352735070244
78/5816-2,Jun Cheng 0002,0.0001282489052085042
37/10606,Lisi Chen 0001,0.00012822371888752862
64/6896,Huchuan Lu,0.0001282236252446954
g/AlexanderFGelbukh,Alexander F. Gelbukh,0.00012818358965948444
223/4246,Fangneng Zhan,0.00012807843505252694
08/9937,Yuanqing Zheng,0.00012804646169587694
l/ErwinLeonardi,Erwin Leonardi,0.0001280009387327499
23/8208-1,Jiayi Zhang 0001,0.00012799323499498147
