pid,name,weighted_degree
334/4075,Hongpu Zhang,143
12/7547,Yanyun Zhao,143
334/3907,Jan Lukas Augustin,143
310/1069,Eui-ik Jeon,143
44/281,Impyeong Lee,143
320/6085,Luca Zedda,143
167/0964,Andrea Loddo,143
13/5485,Cecilia Di Ruberto,143
224/6611,Sagar Verma,143
45/7178,Siddharth Gupta,143
276/6411,Shishir Muralidhara,143
276/6456,Niharika Hegde,143
210/2192,Daitao Xing,143
156/8140,Nikolaos Evangeliou,143
11/637,Anthony Tzes,143
211/4023,Vojtech Bartl,143
195/6281,Jakub Spanhel,143
25/469,Adam Herout,143
158/9487,Neelanjan Bhowmik,143
43/3031,Toby P. Breckon,143
334/3666,Shivanand Kundargi,143
327/3588,Tejas Anvekar,143
193/5852,Uma Mudengudi,143
278/2682,Arpita Vats,143
77/444,Delong Liu,143
92/6499,Yonglin Li,143
262/1396,Shuman Li,143
95/8314,Chenhao Tan,143
326/8810,Vladimir Somers,143
57/3965,Christophe De Vleeschouwer,143
48/3455,Alexandre Alahi,143
271/1528,Hsiang-Wei Huang,143
03/10433,Cheng-Yen Yang,143
205/3972,Pyong-Kun Kim,143
334/4354,Kwangju Kim,143
203/7566,Kyoungoh Lee,143
45/5080,Shuai Jiang,143
40/4099,Haiwen Li,143
334/4120,Zheng Ziqiang,143
295/2794,Hai Nguyen-Truong,143
294/6135,Sophia Yang,143
331/1442,Xiu-Yu Hou,143
334/3785,Yu-An Jhang,143
175/6341,Simon Yang,143
83/3765,Mau-Tsuen Yang,143
28/4847-4,Wenbo Wang 0004,142
53/1471,Puay Siew Tan,142
140/8357,Haoran Xu,142
w/RaymondChiWingWong,Raymond Chi-Wing Wong,141
21/7664,Jianye Hao,141
24/2670,Rick Siow Mong Goh,141
42/8374,Qingyao Wu,141
275/1523,Yijing Lin,141
18/1099,Xinghua Qu,141
196/3124,Weixia Zhang,141
20/5353,Mai Xu,141
261/8056,Haijin Zeng,141
354/8085,Guanqun Liu 0005,141
119/0230,Junjun Jiang,141
124/2034,Kui Jiang,141
300/7194,Chaitra Desai,141
