pid,name,pagerank_score
06/4171,James Cheng,0.0002110428542166238
172/2695,Mengquan Li,0.00021093349863694568
148/9588,Van Tung Pham,0.00021047238061437984
09/3625,Mehdi Bennis,0.00020963504046785314
j/ChristianSJensen,Christian S. Jensen,0.00020931891865014982
09/5042-29,Wei Sun 0029,0.00020918776836361167
t/KayChenTan,Kay Chen Tan,0.0002089684192004104
147/1229,Ziyuan Zhao,0.00020873264453230981
94/1926,Liang Liao,0.00020674355390353687
52/6744,Shuigeng Zhou,0.00020654368092257427
323/7497,Cong-Duy Nguyen,0.00020637941852492457
95/5912,Guang-Bin Huang,0.0002060175518807766
182/7262,Anxiang Zeng,0.00020578971554920445
35/1228,Masashi Sugiyama,0.00020561726270160722
93/8841,Dilip K. Prasad,0.00020554917557695835
91/10215,Xulei Yang,0.0002054875091238193
49/5418,Xiaoli Tang,0.00020485533795846353
61/5309,Mung Chiang,0.00020304933114818584
21/8587-2,Chen Gong 0002,0.00020290017020583564
60/657,Zhongke Wu,0.00020284547775170796
57/5656,Xiaojun Jia,0.0002027179981705613
184/2181,Ranjan Satapathy,0.00020205701375041593
95/10112,Diep N. Nguyen,0.00020154924436277603
118/5100,Neethu Robinson,0.00020111990151294512
07/6149,Zhi-Hong Guan,0.00020067730285538684
77/8060-1,Yueming Wu 0001,0.00020052939593011483
133/4527,Hongyuan Zhu,0.00020052813307301154
89/3136,Susu Yao,0.00020052650828443572
62/6025,Alvis Cheuk M. Fong,0.00020044084728791526
85/3079,Debdeep Mukhopadhyay,0.00020000740965645127
343/4311,Jinbo Wen,0.00019933609187289543
20/4396-1,Jiang Xu 0001,0.00019898744158446845
67/4236,Jinqiao Wang,0.00019890490144678432
08/9937,Yuanqing Zheng,0.00019864756448509832
124/0310,Chunrong Fang,0.00019835979267492543
222/7868,Yuxuan Du,0.00019829496403867548
151/4420-1,Tiantian He 0001,0.00019793559933976377
205/8767,Siyuan Liang,0.00019773300417864456
46/3348,Sumei Sun,0.00019707185004049212
22/111,David Sanán,0.00019687871161963084
191/2446,Frank Z. Xing,0.00019685423534255685
45/47-9,Qin Zhang 0009,0.0001967421798419687
71/6948-1,Jianjun Zhao 0001,0.00019607313060121922
05/10163,Jakub Breier,0.00019575485916685625
c/FrancoisPSChin,Francois P. S. Chin,0.00019565267443452192
l/KenliLi,Kenli Li 0001,0.00019513381064886862
g/AlexanderFGelbukh,Alexander F. Gelbukh,0.00019422137269898106
20/10243,Gongjie Zhang,0.00019396588174238577
241/4348,Shuo Huai,0.00019392913699115238
42/6896-1,Ting Su 0001,0.00019298649464981368
26/3367-1,Gang Niu 0001,0.00019278519103450295
45/3426-3,Hong Zhou 0003,0.00019241681758727107
20/2165-8,You Zhou 0008,0.00019231595136220682
95/2454-1,Xiaohong Liu 0001,0.00019190763132055844
242/6467,Seanglidet Yean,0.00019178311404082575
16/3309,Kaixin Xu,0.00019170338175256583
181/2834-46,Zheng Wang 0046,0.00019168408271454302
g/XianfengGu,Xianfeng Gu,0.00019160547136949912
205/3991,Xintao Wang,0.00019153921070666163
35/4621,Kong-Aik Lee,0.0001910307551454718
81/9436-1,Da Yan 0001,0.00019096370371915467
254/1228,Rundong Wang,0.00019090879709138478
302/4205,Dianwen Ng,0.00019090727474641283
98/6343-1,Chao Cai 0001,0.00019085151367928186
52/6482,Zhenchang Xing,0.0001903033423768771
64/5725-16,Long Chen 0016,0.00019023172424583202
56/443,Jinghui Zhong,0.00018994234218074304
86/541-1,Zhenyu Chen 0001,0.00018964818742867322
k/AloisKnoll,Alois C. Knoll,0.00018936238067406385
09/3493-1,Dong Xu 0001,0.00018926153241929922
239/3478,Yinqiu Liu,0.000188986748579184
z/DavidZhang,David Zhang 0001,0.0001886755214054856
52/4513,Huaxiong Wang,0.000188338699242452
77/2970-1,Xin Cao 0001,0.00018814212143582635
89/5503-12,Yi Ding 0012,0.00018776251251397905
237/3528-2,Mohamed Ragab 0002,0.00018666758122805522
12/5913-1,Kai He 0001,0.00018641043006135122
m/StephenJMaybank,Stephen J. Maybank,0.00018605963951420795
178/9876,Lingjuan Lyu,0.00018549415309190344
87/2948-2,Yuan Liu 0002,0.00018472751367844828
19/2969-1,Jindong Wang 0001,0.00018433188738612745
15/4777-63,Tao Zhang 0063,0.00018428532535884348
94/11104,Huey-Eng Chua,0.0001837005947620995
59/1007,Xiangnan He 0001,0.00018359963832427012
73/1778,Choong Seon Hong,0.00018358857586936903
16/1893,Andrzej S. Murawski,0.00018338468400638902
70/1741-1,Lei Xie 0001,0.00018335219736829742
141/0649,Farhad Merchant,0.00018305496982185034
39/4885,Haifeng Shen,0.0001829559970009031
40/5402,Siwei Ma,0.00018272848179655334
188/9082,Yequan Wang,0.00018213277514599806
125/2814,Chenglin Xu,0.00018211342580960532
59/1501,Richang Hong,0.00018183645154405066
51/4757-3,Kai Han 0003,0.00018166698256367303
71/8042,Xiaoxiao Li,0.00018145515770115228
50/2484-45,Lei Yang 0045,0.0001812426687522409
14/6370-1,Xin Peng 0001,0.00018053958075194134
78/3204-6,Feng Tian 0006,0.00018050210917150078
93/2671,Wangmeng Zuo,0.00018043591774516738
256/9091,Yile Chen 0001,0.000180213617933794
76/1735,Yixiang Fang,0.00018019876411994978
166/0029-2,Xuebo Liu 0002,0.00018018766935895374
149/1281-1,Shanshan Feng 0001,0.00018017197821905436
252/1240,Wanli Ni,0.00018016502946393098
195/2732,Chengwei Qin,0.0001798636699530325
16/1325,Chew-Hung Chang,0.00017973241545877125
169/3407,Qinghao Hu,0.00017927493442655438
27/2376,Edwin Hsing-Mean Sha,0.00017890186932958174
150/6350,Hongxin Wei,0.00017796102372943316
21/7664,Jianye Hao,0.0001778460357481503
82/378-3,Ming Hu 0003,0.0001778102028371631
17/1152-5,Wei Feng 0005,0.00017765275759488267
94/7131,Guanghui Wen,0.00017730782321267574
122/4814,Qiong Yan,0.00017698671770541725
59/983-1,Yixin Chen 0001,0.00017681445668577138
20/3716,Zhifeng Bao,0.00017679364186376463
20/4420,Boon-Ping Gan,0.0001759430185684778
50/2484-18,Lei Yang 0018,0.0001756917756361754
16/7565-1,Jie Fu 0001,0.00017561727705032445
197/4742,Xiangzhong Luo,0.0001755411829673786
72/1999,Heinrich Meyr,0.00017534620113422692
76/393,Siu Leung Chung,0.00017529162041614438
116/0674,Pengfei Zhou,0.00017514639244050928
08/2489-1,Xiaohong Li 0001,0.00017432439204516663
55/7960,Yaoyao Ye,0.00017414507064890378
72/8614,Yingbo Zhou,0.00017313097563554728
95/5358,Khaled B. Letaief,0.0001730430503172189
01/2404,Qingyu Yang,0.00017296160751361102
43/3563-1,Xueqian Wang 0001,0.0001727580433409673
71/2308-1,Jun Xiao 0001,0.00017265693632277334
78/50,Boris Grot,0.00017240045621303414
147/1237-1,Jieming Shi 0001,0.00017226799294233695
135/9708-1,Haotian Li 0001,0.00017223465702657386
215/5457,Dayan Guan,0.00017199062147167738
l/HuiLi5,Hui Li 0005,0.00017174526640261487
73/1823,Chuan Sheng Foo,0.00017172028389530181
188/5874,Devamanyu Hazarika,0.00017171149392158542
153/2952-2,Jiahui Li 0002,0.00017170019317271155
84/3795,Nan Li,0.00017168990275366413
32/6230,Shengli Xie,0.0001716143751391989
186/9707,Liangming Pan,0.00017141981225769504
z/XiaoqinZhang-2,Xiaoqin Zhang 0002,0.0001713687722325685
217/2011,Qianyi Wu,0.00017134166648315923
17/7992,Wanli Ouyang,0.00017131712545353736
180/5537,Chien-Sheng Wu,0.0001711728240383288
121/0867,Haoliang Li,0.0001710603545142697
71/5859,Dinh Phung 0001,0.000170955511059573
75/4085,Mérouane Debbah,0.00017090267850035568
d/LingyuDuan,Ling-Yu Duan,0.00017079245850439798
150/5634,Changyan Yi,0.00017078678559758937
49/5139,Vijay Ramaseshan Chandrasekhar,0.0001707552145530816
203/8539,Alexander R. Fabbri,0.00017054897656688698
05/3403-3,Xin Zhou 0003,0.00017027449918054
07/954,Zhenzhong Chen,0.0001699489384692247
146/4832,Hao Kong,0.00016976287280865454
46/1165,Haijun Wang,0.00016969461939196604
147/5824-1,Hongxu Chen 0001,0.00016941675991837771
20/8038-2,Yixin Cao 0002,0.00016854511882250767
94/60,Hongfang Yu,0.00016853149920648851
94/4423,Xun Yi,0.0001682162033551502
83/5342-5,Min Zhang 0005,0.0001681940319612679
39/3695,Xiaochun Cao,0.00016813962759910703
65/657,Hengjie Song,0.0001681085176921922
63/1534-21,Xu Yang 0021,0.00016798559276243096
55/5031,Bin Cui 0001,0.00016797465413884632
228/2769,Kelvin C. K. Chan,0.00016775083947830692
98/6997,Zeng Zeng,0.00016760887931549352
28/6937-1,Yong Xiao 0001,0.0001669886255458877
01/8056,Jinjian Wu,0.00016679944822900678
y/JaneYou,Jane You,0.0001667395876142244
84/4388,Shuxin Li,0.0001665381460869271
g/WenGao,Wen Gao 0001,0.00016642282953667468
41/6237,Walid Saad,0.0001661215425913983
200/9134,Zhonghua Wu,0.0001661019791018519
86/5681,Rongrong Ji,0.00016607824320889872
183/6637,Chongwen Huang,0.00016552794206552601
08/3377,Saravanan Ramanathan,0.00016498320981256378
202/8872-1,Anran Li 0001,0.00016473881701200495
81/3569-1,Hao Fei 0001,0.00016470809006305555
118/5482,Jiaxing Xu,0.00016441144329842918
y/XifengYan,Xifeng Yan,0.00016418084243571753
271/8391-1,Yilun Zhao 0001,0.00016412151083920664
02/4647-6,Chao Ren 0006,0.00016411960498282467
91/6236-1,Xiaogang Wang 0001,0.0001627730522434953
o/FrederiqueEOggier,Frédérique E. Oggier,0.0001626314149568034
155/2883,Rongliang Wu,0.0001625870419261947
24/441,Robin Cohen,0.0001625743693456691
07/2864-2,Rui Yin 0002,0.00016242001449783195
07/4182-0001,Chun Chen 0001,0.00016216418647202263
129/1217,Semih Yavuz,0.00016211798601437462
198/3608,Navonil Majumder,0.00016191462655609567
37/5474,Roshan Lalintha Peiris,0.00016175155394861288
77/3270,Wei Bian,0.00016166540567163462
131/4074,Jiahui Zhang,0.0001614914548004672
16/6465-9,Cheng Li 0009,0.00016133599307931594
44/740-3,Jiaqi Wang 0003,0.00016116074376530876
44/3549-1,Trung Hieu Nguyen 0001,0.00016041581079833344
169/9975,Bryan Hooi,0.0001603506300364183
23/1112-1,Weifeng Liu 0001,0.0001602868306214402
58/6576-1,Xiaofei Wang 0001,0.00016018701913928413
83/663-4,Jing Tang 0004,0.00015996854222795288
25/3482-2,David Chen 0002,0.0001597209764888595
277/9378,Bosheng Ding,0.0001597162649298171
67/463,Meng Fang,0.00015948498152280324
f/SchubertFoo,Schubert Foo,0.0001593652997981503
14/1705,Yunhai Tong,0.0001592389120214257
47/7598,Nimesha Ranasinghe,0.00015904106244375601
152/8201,Xiucheng Li,0.00015875655864365333
23/6574,Terence Hung,0.00015871791635541001
50/3147,Jiajun Bu,0.0001585084911930292
47/11423-1,Qiming Zhang 0001,0.00015842630596481463
16/355,Pierre Vandergheynst,0.00015832793392390825
53/1565,Xiapu Luo,0.0001581339225704455
20/5565,Damon Wing Kee Wong,0.00015808784208276502
218/6513,Andri Ashfahani,0.0001579637276269449
98/69,Mingyuan Zhang,0.00015772779281442116
23/2089,Ke Yu,0.00015767579599967847
194/2946,Xiangyu Ke,0.00015757439323421253
250/3864,Yi Hao Chan,0.00015716468003863567
37/4190-55,Yang Li 0055,0.00015708517419418827
s/JiaGuangSun-1,Jia-Guang Sun 0001,0.00015708007890611657
n/FelixNaumann,Felix Naumann,0.00015681728854069935
59/4107,Xindong Wu 0001,0.00015668932739086486
28/4847-4,Wenbo Wang 0004,0.00015662101861975587
43/1219-1,Ke Yi 0001,0.00015619723435145448
82/8861,Rajendra Prasad Sirigina,0.00015610060687265144
32/32,Wei Ma,0.00015537919908090972
45/4154,Insik Shin,0.00015500543950074295
t/PhilipHSTorr,Philip H. S. Torr,0.0001549375985687732
144/7556,Daoyuan Wu,0.00015487071498531822
r/DragomirRRadev,Dragomir R. Radev,0.00015471334360767243
54/6827,Zhiwei Xiong,0.0001546888691889563
218/5224,Zonghang Li,0.00015459684575055746
28/6239,Yusen Li,0.00015450981828206832
10/5630,Xin Wang,0.00015440499030676692
71/4476,Enamul Hoque,0.00015401555388579633
r/IanDReid1,Ian Reid 0001,0.00015400303143573026
77/2428-3,Ping Zhang 0003,0.00015399055016818334
07/314-1,Jian Zhang 0001,0.00015329830976793925
76/2502-1,Ming Gu 0001,0.00015329725705688884
04/4493,Shuo Sun,0.00015304939713344732
50/2082-17,Yang Zhao 0017,0.00015242543161477564
56/8278,Jiashi Feng,0.00015207085598626787
47/3024,Min-Hsiu Hsieh,0.00015188258606047477
27/7017-27,Peng Chen 0027,0.0001517992049469946
