colab_id,author_pid,author_name,year,collaborator_pid,collaborator_name
304,99/4535,Anupam Chattopadhyay,2021,99/4535,Anupam Chattopadhyay
305,99/4535,Anupam Chattopadhyay,2021,99/4535,Anupam Chattopadhyay
306,99/4535,Anupam Chattopadhyay,2021,99/4535,Anupam Chattopadhyay
307,99/4535,Anupam Chattopadhyay,2021,99/4535,Anupam Chattopadhyay
308,99/4535,Anupam Chattopadhyay,2021,99/4535,Anupam Chattopadhyay
309,99/4535,Anupam Chattopadhyay,2021,99/4535,Anupam Chattopadhyay
310,99/4535,Anupam Chattopadhyay,2021,99/4535,Anupam Chattopadhyay
311,99/4535,Anupam Chattopadhyay,2021,99/4535,Anupam Chattopadhyay
312,99/4535,Anupam Chattopadhyay,2021,99/4535,Anupam Chattopadhyay
313,99/4535,Anupam Chattopadhyay,2021,99/4535,Anupam Chattopadhyay
314,99/4535,Anupam Chattopadhyay,2021,99/4535,Anupam Chattopadhyay
315,99/4535,Anupam Chattopadhyay,2021,99/4535,Anupam Chattopadhyay
316,99/4535,Anupam Chattopadhyay,2020,99/4535,Anupam Chattopadhyay
317,99/4535,Anupam Chattopadhyay,2020,99/4535,Anupam Chattopadhyay
318,99/4535,Anupam Chattopadhyay,2020,99/4535,Anupam Chattopadhyay
319,99/4535,Anupam Chattopadhyay,2020,95/7006,Cuntai Guan
320,99/4535,Anupam Chattopadhyay,2020,99/4535,Anupam Chattopadhyay
321,99/4535,Anupam Chattopadhyay,2020,99/4535,Anupam Chattopadhyay
322,99/4535,Anupam Chattopadhyay,2020,73/1708,Arvind Easwaran
323,99/4535,Anupam Chattopadhyay,2020,99/4535,Anupam Chattopadhyay
324,99/4535,Anupam Chattopadhyay,2020,99/4535,Anupam Chattopadhyay
325,99/4535,Anupam Chattopadhyay,2020,99/4535,Anupam Chattopadhyay
326,99/4535,Anupam Chattopadhyay,2020,99/4535,Anupam Chattopadhyay
327,99/4535,Anupam Chattopadhyay,2020,99/4535,Anupam Chattopadhyay
328,99/4535,Anupam Chattopadhyay,2020,99/4535,Anupam Chattopadhyay
329,99/4535,Anupam Chattopadhyay,2020,99/4535,Anupam Chattopadhyay
330,99/4535,Anupam Chattopadhyay,2020,99/4535,Anupam Chattopadhyay
331,99/4535,Anupam Chattopadhyay,2020,99/4535,Anupam Chattopadhyay
332,99/4535,Anupam Chattopadhyay,2020,99/4535,Anupam Chattopadhyay
333,99/4535,Anupam Chattopadhyay,2020,99/4535,Anupam Chattopadhyay
334,99/4535,Anupam Chattopadhyay,2020,73/1708,Arvind Easwaran
335,99/4535,Anupam Chattopadhyay,2020,99/4535,Anupam Chattopadhyay
336,99/4535,Anupam Chattopadhyay,2020,99/4535,Anupam Chattopadhyay
337,99/4535,Anupam Chattopadhyay,2020,99/4535,Anupam Chattopadhyay
338,99/4535,Anupam Chattopadhyay,2020,99/4535,Anupam Chattopadhyay
339,99/4535,Anupam Chattopadhyay,2020,99/4535,Anupam Chattopadhyay
340,99/4535,Anupam Chattopadhyay,2020,99/4535,Anupam Chattopadhyay
